,Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,Date,Scheme Category,Scheme Sub-category,Regular/Direct,IDCW Scheme,Bonus Option,Reinvestment Scheme,Benchmark
373,151919,INF0J8L01149,-,NJ Flexi Cap Fund - Regular Plan - IDCW Option,12.39,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
374,133837,INF663L01FG9,INF663L01FH7,PGIM India Flexi Cap Fund - Direct Plan - Dividend Option,20.03,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
375,133839,INF663L01FF1,-,PGIM India Flexi Cap Fund - Direct Plan - Growth Option,38.73,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
376,133838,INF663L01FK1,INF663L01FL9,PGIM India Flexi Cap Fund - Regular Plan - Dividend Option,17.8,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
377,133836,INF663L01FJ3,-,PGIM India Flexi Cap Fund - Regular Plan - Growth Option,33.27,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
378,122639,INF879O01027,-,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,85.1159,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
379,122640,INF879O01019,-,Parag Parikh Flexi Cap Fund - Regular Plan - Growth,78.2516,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
380,109830,INF966L01457,-,quant Flexi Cap Fund - Growth Option - Regular Plan,91.3005,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
381,120843,INF966L01911,-,quant Flexi Cap Fund - Growth Option-Direct Plan,101.1264,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
382,120842,INF966L01895,INF966L01903,quant Flexi Cap Fund - IDCW Option - Direct Plan,68.7397,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
383,109831,INF966L01432,INF966L01440,quant Flexi Cap Fund - IDCW Option - Regular Plan,65.2547,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
384,149450,INF0K1H01024,-,Samco Flexi Cap Fund - Direct Plan - Growth Option,9.95,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
385,149449,INF0K1H01016,-,Samco Flexi Cap Fund - Regular Plan - Growth Option,9.5,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
386,119718,INF200K01UG1,-,SBI Flexicap Fund - DIRECT PLAN - Growth Option,112.2537,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
387,119717,INF200K01UE6,INF200K01UF3,SBI Flexicap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),56.1078,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
388,103216,INF200K01230,INF200K01248,SBI Flexicap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),45.1118,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
389,103215,INF200K01222,-,SBI Flexicap Fund - REGULAR PLAN -Growth Option,100.7463,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
390,144905,INF680P01109,-,Shriram Flexi Cap Fund - Direct Growth,21.3053,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
391,144906,INF680P01117,INF680P01125,Shriram Flexi Cap Fund - Direct-IDCW,21.1092,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
392,144902,INF680P01075,-,Shriram Flexi Cap Fund - Regular Growth,18.968,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
393,144903,INF680P01083,INF680P01091,Shriram Flexi Cap Fund - Regular-IDCW,18.9638,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
394,150571,INF903JA1LE2,-,Sundaram Flexicap Fund Direct Growth,14.0955,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
395,150573,INF903JA1LF9,-,Sundaram Flexicap Fund Direct Plan IDCW Payout,13.37,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
396,150572,-,INF903JA1LG7,Sundaram Flexicap Fund Direct Plan IDCW Reinvestment,13.37,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Reinvestment Scheme,NIFTY 500
397,150568,INF903JA1LB8,-,Sundaram Flexicap Fund Regular Growth,13.5296,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
398,150569,INF903JA1LC6,-,Sundaram Flexicap Fund Regular Plan IDCW Payout,12.8334,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
399,150570,-,INF903JA1LD4,Sundaram Flexicap Fund Regular Plan IDCW Reinvestment,12.8334,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Reinvestment Scheme,NIFTY 500
400,144547,INF277K017K6,-,TATA Flexi Cap Fund - Direct Plan - Payout of Income Distribution cum capital withdrawal option ,24.5637,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
401,144548,INF277K019K2,-,Tata Flexi Cap Fund -Regular Plan-Growth,22.2084,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
402,144543,-,INF277K016K8,TATA Flexi Cap Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option,24.5637,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Reinvestment Scheme,NIFTY 500
403,144544,INF277K011L7,-,TATA Flexi Cap Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ,22.2084,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
404,144545,-,INF277K010L9,TATA Flexi Cap Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ,22.2084,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Reinvestment Scheme,NIFTY 500
405,144546,INF277K015K0,-,Tata Flexi Cap Fund-Direct Plan-Growth,24.5637,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
406,118884,INF044D01BV7,INF044D01BW5,Taurus Flexi Cap Fund - Direct Plan -  Payout of Income Distribution cum Capital Withdrawal option,110.52,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
407,118883,INF044D01BU9,-,Taurus Flexi Cap Fund - Direct Plan - Growth,219.06,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
408,100476,INF044D01989,-,Taurus Flexi Cap Fund - Regular Plan - Growth ,210.61,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
409,111640,INF044D01955,INF044D01963,Taurus Flexi Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,102.2,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
410,152584,INF0GCD01743,-,TRUSTMF Flexi Cap Fund-Direct Plan- Growth,10.79,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
411,152585,INF0GCD01750,INF0GCD01768,TRUSTMF Flexi Cap Fund-Direct Plan- IDCW,10.79,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
412,152582,INF0GCD01719,-,TRUSTMF Flexi Cap Fund-Regular Plan- Growth,10.62,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
413,152583,INF0GCD01727,INF0GCD01735,TRUSTMF Flexi Cap Fund-Regular Plan- IDCW,10.62,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
414,119292,INF582M01633,-,Union Flexi Cap Fund - Direct Plan - Growth Option,51.88,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
415,119293,INF582M01658,INF582M01641,Union Flexi Cap Fund - Direct Plan - IDCW Option,45.32,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
416,115270,INF582M01104,-,Union Flexi Cap Fund - Growth Option,46.75,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
417,115290,INF582M01120,INF582M01112,Union Flexi Cap Fund - IDCW Option,29.52,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
418,100669,INF789F01513,-,UTI - Flexi Cap Fund-Growth Option,300.0274,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
419,120662,INF789F01TC4,-,UTI - Flexi Cap Fund-Growth Option - Direct,321.1654,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
420,120663,INF789F01TA8,INF789F01TB6,UTI Flexi Cap Fund - Direct Plan - IDCW,213.7305,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
421,100668,INF189A01053,INF789F01505,UTI Flexi Cap Fund - Regular Plan - IDCW,198.359,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
422,150349,INF03VN01555,INF03VN01548,WhiteOak Capital Flexi Cap Fund Direct Plan IDCW,16.363,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
423,150346,INF03VN01530,-,WhiteOak Capital Flexi Cap Fund Direct Plan-Growth,16.363,2025-04-02,Equity Scheme,Flexi Cap Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
424,150348,INF03VN01522,INF03VN01514,WhiteOak Capital Flexi Cap Fund Regular Plan IDCW,15.714,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
425,150347,INF03VN01506,-,WhiteOak Capital Flexi Cap Fund Regular Plan-Growth,15.714,2025-04-02,Equity Scheme,Flexi Cap Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
426,131581,INF579M01910,INF579M01928,360 ONE Focused Equity Fund - Direct Plan - Dividend,49.0829,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
427,131579,INF579M01886,INF579M01894,360 ONE Focused Equity Fund - Regular Plan - Dividend,38.8169,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
428,131578,INF579M01878,-,360 ONE Focused Equity Fund -Regular Plan - Growth,43.8709,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
429,131580,INF579M01902,-,360 ONE Focused Equity Fund-Direct Plan-Growth,49.5886,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
430,119564,INF209K01WE3,-,Aditya Birla Sun Life Focused Fund - Growth - Direct Plan,146.8519,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
431,119563,INF209K01Q71,INF209K01WF0,Aditya Birla Sun Life Focused Fund -Direct - IDCW,55.8459,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
432,103309,INF209K01462,-,Aditya Birla Sun Life Focused Fund -Growth Option,130.7211,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
433,103308,INF209K01454,INF209K01CS5,Aditya Birla Sun Life Focused Fund -Regular - IDCW,23.7743,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
434,120468,INF846K01CQ8,-,Axis Focused Fund - Direct Plan - Growth Option,58.51,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
435,120467,INF846K01CO3,INF846K01CP0,Axis Focused Fund - Direct Plan - IDCW,32.51,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
436,117560,INF846K01CH7,-,Axis Focused Fund - Regular Plan - Growth Option,50.84,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
437,117559,INF846K01CI5,INF846K01CJ3,Axis Focused Fund - Regular Plan - IDCW,18.3,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
438,108592,INF194K01466,-,BANDHAN Focused Equity Fund - Regular Plan - Growth,79.15,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
439,108593,INF194K01474,INF194K01482,BANDHAN Focused Equity Fund - Regular Plan - IDCW,18.07,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
440,118421,INF194K01W21,-,BANDHAN Focused Equity Fund-Direct Plan-Growth,92.85,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
441,118422,INF194K01W39,INF194K01W47,BANDHAN Focused Equity Fund-Direct Plan-IDCW,31.724,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
442,150264,INF251K01PN0,-,BARODA BNP PARIBAS Focused Fund - Direct Plan - Growth Option,22.6501,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
443,150265,INF251K01PO8,INF251K01PP5,BARODA BNP PARIBAS Focused Fund - Direct Plan - IDCW Option,16.2861,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
444,150262,INF251K01PL4,INF251K01PM2,BARODA BNP PARIBAS Focused Fund - Regular Plan - IDCW Option,14.4873,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
445,150263,INF251K01PK6,-,BARODA BNP PARIBAS Focused Fund - Regular Plan-Growth Option,20.1079,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
446,148883,INF760K01JQ6,-,Canara Robeco Focused Equity Fund - Direct Plan - Growth Option,19.37,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
447,148882,INF760K01JS2,INF760K01JR4,Canara Robeco Focused Equity Fund - Direct Plan - IDCW (Payout/Reinvestment),18.23,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Reinvestment Scheme,NIFTY 500
448,148884,INF760K01JT0,-,Canara Robeco Focused Equity Fund - Regular Plan - Growth Option,18.21,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
449,148885,INF760K01JV6,INF760K01JU8,Canara Robeco Focused Equity Fund - Regular Plan - IDCW (Payout/Reinvestment),17.08,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Reinvestment Scheme,NIFTY 500
450,119096,INF740K01OB0,-,DSP Focus Fund - Direct Plan - Growth,56.751,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
451,119095,INF740K01OC8,INF740K01OD6,DSP Focus Fund - Direct Plan - IDCW,39.89,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
452,112901,INF740K01532,-,DSP Focus Fund - Regular Plan - Growth,50.983,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
453,113032,INF740K01540,INF740K01AC7,DSP Focus Fund - Regular Plan - IDCW,20.474,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
454,150376,INF754K01OP1,-,Edelweiss Focused Fund - Direct Plan - Growth,15.805,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
455,150383,INF754K01OQ9,INF754K01OR7,Edelweiss Focused Fund - Direct Plan - IDCW,15.805,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
456,150382,INF754K01OL0,-,Edelweiss Focused Fund - Regular Plan - Growth,15.121,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
457,150384,INF754K01OM8,INF754K01ON6,Edelweiss Focused Fund - Regular Plan - IDCW,15.12,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
458,118564,INF090I01IW2,-,Franklin India Focused Equity Fund - Direct - Growth,111.1029,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
459,118563,INF090I01IU6,INF090I01IV4,Franklin India Focused Equity Fund - Direct - IDCW ,42.2047,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
460,105817,INF090I01981,-,Franklin India Focused Equity Fund - Growth Plan,98.8662,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
461,105816,INF090I01965,INF090I01973,Franklin India Focused Equity Fund - IDCW ,35.6857,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
462,118950,INF179K01VK7,-,HDFC Focused 30 Fund - Growth Option - Direct Plan,241.186,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
463,102760,INF179K01574,-,HDFC Focused 30 Fund - GROWTH PLAN,213.359,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
464,118949,INF179K01VI1,INF179K01VJ9,HDFC Focused 30 Fund - IDCW Option - Direct Plan,30.662,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
465,102761,INF179K01558,INF179K01566,HDFC Focused 30 Fund - IDCW PLAN,23.689,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
466,148411,INF336L01PB2,-,HSBC Focused Fund - Direct Growth,24.0782,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
467,148412,INF336L01PC0,INF336L01PD8,HSBC Focused Fund - Direct IDCW,21.3652,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
468,148409,INF336L01PE6,-,HSBC Focused Fund - Regular Growth,22.5176,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
469,148410,INF336L01PF3,INF336L01PG1,HSBC Focused Fund - Regular IDCW,17.3708,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
470,120722,INF109K018N2,-,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,94.74,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
471,120723,INF109K016N6,INF109K017N4,ICICI Prudential Focused Equity Fund - Direct Plan - IDCW,57.31,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
472,111957,INF109K01BZ4,-,ICICI Prudential Focused Equity Fund - Growth,82.94,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
473,111958,INF109K01FM3,INF109K01CA5,ICICI Prudential Focused Equity Fund - IDCW,26.6,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
474,148481,INF205KA1213,-,Invesco India Focused Fund - Direct Plan - Growth,27.8,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
475,148482,INF205KA1205,INF205KA1221,Invesco India Focused Fund - Direct Plan - IDCW (Payout / Reinvestment),22.63,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Reinvestment Scheme,NIFTY 500
476,148483,INF205KA1189,-,Invesco India Focused Fund - Growth,25.93,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
477,148484,INF205KA1171,INF205KA1197,Invesco India Focused Fund - IDCW (Payout / Reinvestment),20.88,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Reinvestment Scheme,NIFTY 500
478,151777,INF00XX01CS8,-,ITI Focused Equity Fund - Direct Plan - Growth,14.2479,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
479,151776,INF00XX01CT6,INF00XX01CU4,ITI Focused Equity Fund - Direct Plan - IDCW,14.2479,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
480,151778,INF00XX01CV2,-,ITI Focused Equity Fund - Regular Plan - Growth,13.7777,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
481,151775,INF00XX01CW0,INF00XX01CR0,ITI Focused Equity Fund - Regular Plan - IDCW,13.7776,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
482,120488,INF192K01BW7,-,JM Focused Fund (Direct)  - Growth Option,21.5626,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
483,120487,INF192K01BU1,INF192K01BV9,JM Focused Fund (Direct) -  IDCW,21.1319,2025-04-02,Equity Scheme,Focused Fund,Direct Plan,IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
484,107410,INF192K01577,-,JM Focused Fund (Regular) - Growth Option,18.5663,2025-04-02,Equity Scheme,Focused Fund,Regular Plan,Non-IDCW Scheme,Non-Bonus Option,Non-Reinvestment Scheme,NIFTY 500
